,Doc,ID,ID_2,Location,Prec_Code,Open/Closed,Mentions,Rel_Mentions,Maps,Rel_Maps,Emails,People,Addresses ,Tense_Lang,Correct_File
1,PID (2002),P074079,P074079_234990,Atiak,1,Closed,1,1,0,0,1,1,3,Future,No
2,PID (2002),P074079,P074079_229059,Moyo,1,Closed,1,1,0,0,1,1,3,Future,No
3,PID (2004),P074079,P074079_234990,Atiak,1,Closed,3,3,0,0,1,1,3,Future,No
4,PID (2004),P074079,P074079_229059,Moyo,1,Closed,2,2,0,0,1,1,3,Future,No
5,PID (2004),P074079,P074079_226234,Soroti,1,Closed,3,3,0,0,1,1,3,Future,No
6,PAD (2004),P074079,P074079_234990,Atiak,1,Closed,39,23,0,0,2,5,2,Past,No
7,PAD (2004),P074079,P074079_226234,Soroti,1,Closed,48,24,0,0,2,5,2,Past,Yes
8,Project Paper (2009),P074079,P074079_234990,Atiak,1,Closed,8,7,0,0,0,3,0,Present,No
9,Project Paper (2009),P074079,P074079_226234,Soroti,1,Closed,21,7,0,0,0,3,0,Present,Yes
10,ISR (2011),P074079,P074079_234990,Atiak,1,Closed,4,3,0,0,0,0,0,Present/Past,No
11,ISR (2011),P074079,P074079_226234,Soroti,1,Closed,10,6,0,0,0,0,0,Present/Past,Yes
12,ICR (2012),P074079,P074079_234990,Atiak,1,Closed,53,22,1,1,0,9,0,Present/Past,No
13,ICR (2012),P074079,P074079_226234,Soroti,1,Closed,54,27,1,1,0,9,0,Present/Past,Yes
14,PID (2013),P133590,,Kampala,1,Open,25,4,0,0,2,2,1,Past,No
15,ISDS (2013),P133590,P133590_8658346,Central Division,1,Open,0,0,0,0,0,4,0,Future,Yes
16,ISDS (2013),P133590,P133590_7732388,Kawempe Division,1,Open,0,0,0,0,0,4,0,Future,Yes
17,ISDS (2013),P133590,P133590_7732390,Lubaga Division,1,Open,0,0,0,0,0,4,0,Future,Yes
18,ISDS (2013),P133590,P133590_8260676,Makindya Division,1,Open,0,0,0,0,0,4,0,Future,Yes
19,ISDS (2013),P133590,P133590_7732387,Nakawa Division,1,Open,0,0,0,0,0,4,0,Future,Yes
20,ISDS (2014),P133590,,Kampala,1,Open,50,7,0,0,2,2,1,Present,No
21,ISDS (2014),P133590,P133590_8658346,Central Division,1,Open,0,0,0,0,0,5,0,Future,Yes
22,ISDS (2014),P133590,P133590_7732388,Kawempe Division,1,Open,0,0,0,0,0,5,0,Future,Yes
23,ISDS (2014),P133590,P133590_7732390,Lubaga Division,1,Open,0,0,0,0,0,5,0,Future,Yes
24,ISDS (2014),P133590,P133590_8260676,Makindya Division,1,Open,0,0,0,0,0,5,0,Future,Yes
25,ISDS (2014),P133590,P133590_7732387,Nakawa Division,1,Open,0,0,0,0,0,5,0,Future,Yes
26,PAD (2004),P133590,,Kampala,1,Open,119,21,2,2,1,16,0,Future,No
27,PAD (2004),P133590,P133590_8658346,Central Division,1,Open,0,5,2,2,1,16,0,Future,Yes
28,PAD (2004),P133590,P133590_7732388,Kawempe Division,1,Open,0,5,2,2,1,16,0,Future,Yes
29,PAD (2004),P133590,P133590_7732390,Lubaga Division,1,Open,0,5,2,2,1,16,0,Future,Yes
30,PAD (2004),P133590,P133590_8260676,Makindya Division,1,Open,0,5,2,2,1,16,0,Future,Yes
31,PAD (2004),P133590,P133590_7732387,Nakawa Division,1,Open,0,5,2,2,1,16,0,Future,Yes
32,ISRR (2014),P133590,,Kampala,1,Open,6,3,0,0,,,,Past,No
33,PID (1999),P059223,,Nakivubo Channel ,1,Closed,8,3,0,0,0,1,2,Future,No
34,PID (1999),P059223,P059223_232422,Kampala,1,Closed,86,21,2,2,1,7,1,Present/Future,No
35,PAD (1999),P059223,,Nakivubo Channel ,1,Closed,113,18,2,2,1,7,1,Present/Future,No
36,ICRR (2004),P059223,P059223_232422,Kampala,1,Closed,69,15,0,0,0,9,0,Past,No
37,ICRR (2004),P059223,,Nakivubo Channel ,1,Closed,26,13,0,0,0,9,0,Past,No
38,PID (2006),P090867,,Uganda,6,Closed,0,0,0,0,2,1,1,Present/Future,Yes
39,ISDS (2006),P090867,,Uganda,6,Closed,0,0,0,0,0,5,0,Future,Yes
40,PID (2007),P090867,,Uganda,6,Closed,0,0,0,0,3,1,3,Present,Yes
41,PAD (2007),P090867,,Lira,3,Closed,8,3,1,0,0,22,2,Present,Yes
42,PAD (2007),P090867,,Jinja,3,Closed,8,3,1,0,0,22,2,Present,Yes
43,ISDS (2007),P090867,,Uganda,6,Closed,0,0,0,0,0,4,0,Future,Yes
44,ISDS (2013),P130471,P130471_233114,Jinja,1,Open,2,2,0,0,0,5,0,Future,Yes
45,ISDS (2013),P130471,P130471_232422,Kampala,1,Open,1,1,0,0,0,5,0,Future,Yes
46,PID (2013),P130471,P130471_233114,Jinja,1,Open,0,0,0,0,3,3,1,Present,Yes
47,PID (2013),P130471,P130471_232422,Kampala,1,Open,0,0,0,0,3,3,1,Present,Yes
48,PAD (2013),P130471,P130471_233114,Jinja,1,Open,13,11,0,0,1,32,0,Future,Yes
49,PAD (2013),P130471,P130471_232422,Kampala,1,Open,7,1,0,0,1,32,0,Future,Yes
50,PAD (2013),P130471,P130471_443350,Luwero,3,Open,14,14,0,0,1,32,0,Future,Yes
51,PAD (2013),P130471,P130471_233709,Mpigi,3,Open,8,8,0,0,1,32,0,Future,Yes
52,PAD (2013),P130471,P130471_7056293,Mityana,3,Open,8,8,0,0,1,32,0,Future,Yes
53,PAD (2013),P130471,P130471_443365,Soroti,3,Open,8,8,0,0,1,32,0,Future,Yes
54,PAD (2013),P130471,P130471_443336,Kabale,3,Open,8,8,0,0,1,32,0,Future,Yes
55,PAD (2013),P130471,P130471_443364,Rukungiri,3,Open,8,8,0,0,1,32,0,Future,Yes
56,PAD (2013),P130471,P130471_443366,Tororo,3,Open,8,8,0,0,1,32,0,Future,Yes
57,PAD (2013),P130471,P130471_443359,Mukono,3,Open,9,9,0,0,1,32,0,Future,Yes
58,PAD (2013),P130471,P130471_443356,Moroto,3,Open,8,8,0,0,1,32,0,Future,Yes
59,ISR (2013),P130471,P130471_232422,Kampala,1,Open,1,1,0,0,0,0,0,Present,Yes
60,PID (2009),P115563,,Uganda,6,Open,,,0,0,1,1,1,Future,Yes
61,ISDS (2009),P115563,,Mubende,1,Open,2,2,0,0,0,5,0,Future,Yes
62,ISDS (2009),P115563,,Moroto,1,Open,2,2,0,0,0,5,0,Future,Yes
63,ISDS (2009),P092837,P092837_233346,Gulu,1,Closed,1,1,0,0,0,4,0,Future,Yes
64,ISDS (2009),P092837,P092837_234990,Atiak,1,,1,1,0,0,0,4,0,Future,Yes
65,ISDS (2009),P092837,,Nimule,1,,1,1,0,0,0,4,0,Future,Yes
66,ISDS (2009),P092837,P092837_235039,Arua,1,,1,1,0,0,0,4,0,Future,Yes
67,ISDS (2009),P092837,P092837_226030,Vurra,1,,1,1,0,0,0,4,0,Future,Yes
68,ISDS (2009),P092837,P092837_226962,Oraba,1,,1,1,0,0,0,4,0,Future,Yes
69,ISDS (2009),P092837,P092837_232422,Kampala,1,,3,2,0,0,0,4,0,Future,Yes
70,PID (2009),P092837,P092837_233346,Gulu,1,,2,2,0,0,1,1,1,Future,Yes
71,PID (2009),P092837,P092837_234990,Atiak,1,,2,2,0,0,1,1,1,Future,Yes
72,PID (2009),P092837,,Nimule ,1,,1,1,0,0,1,1,1,Future,Yes
73,PID (2009),P092837,P092837_235039,Arua,1,,1,1,0,0,1,1,1,Future,Yes
74,PID (2009),P092837,P092837_226030,Vurra,1,,1,1,0,0,1,1,1,Future,Yes
75,PID (2009),P092837,P092837_226962,Oraba,1,,1,1,0,0,1,1,1,Future,Yes
76,PID (2009),P092837,P092837_232422,Kampala,1,,4,3,0,0,1,1,1,Future,Yes
77,PID (2009),P092837,P092837_233346,Gulu,1,,37,14,1,1,1,3,3,Future,Yes
78,PID (2009),P092837,P092837_234990,Atiak ,1,,28,11,1,1,1,3,3,Future,Yes
79,PID (2009),P092837,P092837_235039,Arua,1,,29,12,1,1,1,3,3,Future,Yes
80,PID (2009),P092837,P092837_226030,Vurra ,1,,28,12,1,1,1,3,3,Future,Yes
81,PID (2009),P092837,P092837_226962,Oraba,1,,26,7,1,1,1,3,3,Future,Yes
82,PID (2009),P092837,P092837_232422,Kampala,1,,43,12,1,1,1,3,3,Future,Yes
83,ISRR (2010),P092837,P092837_233346,Gulu,1,,3,1,0,0,0,0,0,Future,Yes
84,ISRR (2010),P092837,P092837_234990,Atiak ,1,,1,1,0,0,0,0,0,Future,Yes
85,ISRR (2010),P092837,P092837_235039,Arua,1,,1,1,0,0,0,0,0,Future,Yes
86,ISRR (2010),P092837,P092837_226030,Vurra,1,,3,1,0,0,0,0,0,Future,Yes
87,ISRR (2010),P092837,P092837_226962,Oraba,1,,2,1,0,0,0,0,0,Future,Yes
88,ISRR (2010),P092837,P092837_232422,Kampala,1,,2,1,0,0,0,0,0,Future,Yes
89,ISRR (2016),P092837,P092837_233346,Gulu,1,,4,2,0,0,0,0,0,Past,Yes
90,ISRR (2016),P092837,P092837_234990,Atiak,1,,2,2,0,0,0,0,0,Past,Yes
91,ISRR (2016),P092837,P092837_235039,Arua,1,,3,3,0,0,0,0,0,Past,Yes
92,ISRR (2016),P092837,P092837_226030,Vurra,1,,4,2,0,0,0,0,0,Past,Yes
93,ISRR (2016),P092837,P092837_226962,Oraba,1,,3,2,0,0,0,0,0,Past,Yes
94,ISRR (2016),P092837,P092837_232422,Kampala,1,,1,1,0,0,0,0,0,Past,Yes
95,ISRR (2016),P092837,,Fort Portal,1,,1,1,0,0,0,0,0,Past,No
96,ISRR (2016),P092837,,Kamwenge,1,,1,1,0,0,0,0,0,Past,No
97,PID (2002),P002952,,Uganda,6,,0,0,0,0,1,1,2,Future,Yes
